127.0.0.1 - - [25/Jan/2023:08:57:53 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [25/Jan/2023:08:57:56 +0900] "GET /JSPBook/ch03/taglib.jsp HTTP/1.1" 200 7074
0:0:0:0:0:0:0:1 - - [25/Jan/2023:08:57:56 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [25/Jan/2023:12:03:09 +0900] "GET /JSPBook/ch03/taglib.jsp HTTP/1.1" 200 6203
0:0:0:0:0:0:0:1 - - [25/Jan/2023:12:03:09 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [25/Jan/2023:12:03:21 +0900] "GET /JSPBook/ch03/taglib.jsp HTTP/1.1" 200 6215
0:0:0:0:0:0:0:1 - - [25/Jan/2023:12:03:22 +0900] "GET /JSPBook/ch03/taglib.jsp HTTP/1.1" 200 6215
0:0:0:0:0:0:0:1 - - [25/Jan/2023:12:05:24 +0900] "GET /JSPBook/ch03/taglib.jsp HTTP/1.1" 200 6655
0:0:0:0:0:0:0:1 - - [25/Jan/2023:12:07:09 +0900] "GET /JSPBook/ch03/taglib.jsp HTTP/1.1" 200 6664
0:0:0:0:0:0:0:1 - - [25/Jan/2023:12:07:13 +0900] "GET /JSPBook/ch03/taglib.jsp HTTP/1.1" 200 6664
0:0:0:0:0:0:0:1 - - [25/Jan/2023:12:07:14 +0900] "GET /JSPBook/ch03/taglib.jsp HTTP/1.1" 200 6664
0:0:0:0:0:0:0:1 - - [25/Jan/2023:14:40:55 +0900] "GET /JSPBook/ch03/taglib.jsp HTTP/1.1" 200 6665
0:0:0:0:0:0:0:1 - - [25/Jan/2023:15:06:57 +0900] "GET /WebMarket/welcome.jsp HTTP/1.1" 200 937
0:0:0:0:0:0:0:1 - - [25/Jan/2023:15:11:21 +0900] "GET /WebMarket/welcome.jsp HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [25/Jan/2023:15:11:22 +0900] "GET /WebMarket/welcome.jsp HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [25/Jan/2023:15:11:23 +0900] "GET /WebMarket/welcome.jsp HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [25/Jan/2023:15:11:24 +0900] "GET /WebMarket/welcome.jsp HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [25/Jan/2023:15:11:24 +0900] "GET /WebMarket/welcome.jsp HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [25/Jan/2023:15:11:25 +0900] "GET /WebMarket/welcome.jsp HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [25/Jan/2023:15:11:47 +0900] "GET /WebMarket/welcome.jsp HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [25/Jan/2023:15:11:51 +0900] "GET /WebMarket/welcome.jsp HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [25/Jan/2023:15:14:16 +0900] "GET /WebMarket/welcome.jsp HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [25/Jan/2023:15:14:17 +0900] "GET /WebMarket/welcome.jsp HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [25/Jan/2023:15:14:17 +0900] "GET /WebMarket/welcome.jsp HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [25/Jan/2023:15:14:18 +0900] "GET /WebMarket/welcome.jsp HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [25/Jan/2023:15:14:18 +0900] "GET /WebMarket/welcome.jsp HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [25/Jan/2023:16:21:07 +0900] "GET /JSPBook/ch05/request.jsp HTTP/1.1" 200 420
0:0:0:0:0:0:0:1 - - [25/Jan/2023:16:21:12 +0900] "POST /JSPBook/ch05/process.jsp HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [25/Jan/2023:16:29:07 +0900] "GET /JSPBook/ch05/request01.jsp HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [25/Jan/2023:16:29:15 +0900] "POST /JSPBook/ch05/request01_process.jsp HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [25/Jan/2023:16:40:19 +0900] "GET /JSPBook/ch05/request02.jsp HTTP/1.1" 200 2350
0:0:0:0:0:0:0:1 - - [25/Jan/2023:16:40:41 +0900] "GET /JSPBook/ch05/request02.jsp HTTP/1.1" 200 2551
0:0:0:0:0:0:0:1 - - [25/Jan/2023:17:02:35 +0900] "GET /JSPBook/ch05/request03.jsp HTTP/1.1" 200 1721
0:0:0:0:0:0:0:1 - - [25/Jan/2023:17:02:46 +0900] "GET /JSPBook/ch05/request03.jsp HTTP/1.1" 200 1724
0:0:0:0:0:0:0:1 - - [25/Jan/2023:17:03:20 +0900] "GET /JSPBook/ch05/request03.jsp HTTP/1.1" 200 1724
0:0:0:0:0:0:0:1 - - [25/Jan/2023:17:03:28 +0900] "GET /JSPBook/ch05/request03.jsp HTTP/1.1" 200 1725
0:0:0:0:0:0:0:1 - - [25/Jan/2023:17:14:24 +0900] "GET /JSPBook/ch05/response01_process.jsp HTTP/1.1" 500 2958
0:0:0:0:0:0:0:1 - - [25/Jan/2023:17:15:13 +0900] "GET /JSPBook/ch05/response01.jsp HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [25/Jan/2023:17:15:25 +0900] "POST /JSPBook/ch05/response01_process.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jan/2023:17:15:25 +0900] "GET /JSPBook/ch05/response01_failed.jsp HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [25/Jan/2023:17:15:26 +0900] "GET /JSPBook/ch05/response01.jsp HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [25/Jan/2023:17:15:30 +0900] "POST /JSPBook/ch05/response01_process.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jan/2023:17:15:30 +0900] "GET /JSPBook/ch05/response01_success.jsp HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [25/Jan/2023:17:18:51 +0900] "GET /JSPBook/ch05/response02.jsp HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [25/Jan/2023:17:18:56 +0900] "GET /JSPBook/ch05/response02.jsp HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [25/Jan/2023:17:19:01 +0900] "GET /JSPBook/ch05/response02.jsp HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [25/Jan/2023:17:19:06 +0900] "GET /JSPBook/ch05/response02.jsp HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [25/Jan/2023:17:19:11 +0900] "GET /JSPBook/ch05/response02.jsp HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [25/Jan/2023:17:19:16 +0900] "GET /JSPBook/ch05/response02.jsp HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [25/Jan/2023:17:19:21 +0900] "GET /JSPBook/ch05/response02.jsp HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [25/Jan/2023:17:19:26 +0900] "GET /JSPBook/ch05/response02.jsp HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [25/Jan/2023:17:19:31 +0900] "GET /JSPBook/ch05/response02.jsp HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [25/Jan/2023:17:19:34 +0900] "GET /JSPBook/ch05/response02.jsp HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [25/Jan/2023:17:19:39 +0900] "GET /JSPBook/ch05/response02.jsp HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [25/Jan/2023:17:19:40 +0900] "GET /JSPBook/ch05/response02.jsp HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [25/Jan/2023:17:19:41 +0900] "GET /JSPBook/ch05/response02.jsp HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [25/Jan/2023:17:19:42 +0900] "GET /JSPBook/ch05/response02.jsp HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [25/Jan/2023:17:19:43 +0900] "GET /JSPBook/ch05/response02.jsp HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [25/Jan/2023:17:19:44 +0900] "GET /JSPBook/ch05/response02.jsp HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [25/Jan/2023:17:19:45 +0900] "GET /JSPBook/ch05/response02.jsp HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [25/Jan/2023:17:19:46 +0900] "GET /JSPBook/ch05/response02.jsp HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [25/Jan/2023:17:19:47 +0900] "GET /JSPBook/ch05/response02.jsp HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [25/Jan/2023:17:19:48 +0900] "GET /JSPBook/ch05/response02.jsp HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [25/Jan/2023:17:19:49 +0900] "GET /JSPBook/ch05/response02.jsp HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [25/Jan/2023:17:19:50 +0900] "GET /JSPBook/ch05/response02.jsp HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [25/Jan/2023:17:25:19 +0900] "GET /JSPBook/ch05/response03.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [25/Jan/2023:17:26:47 +0900] "GET /JSPBook/ch05/response03.jsp HTTP/1.1" 500 2680
